baseMean	log2FoldChange	lfcSE	pvalue	padj	direction	gained_ac	gene
Fbxo21	4325.43939996422	-1.13904786045131	0.0765881327923985	4.9810166894917e-50	2.12120153591068e-47	dn	FALSE	Fbxo21
Isg15	264.946720526982	2.28116086196958	0.154697257824989	3.26601494530361e-49	1.35851030957443e-46	up	FALSE	Isg15
Abcd2	1001.22004804934	2.01884274604016	0.136949398685116	3.48827061528834e-49	1.41798200511471e-46	up	TRUE	Abcd2
Arg1	54601.3463928903	-1.06516570465091	0.0727200559142657	1.3980150999157e-48	5.5566440171316e-46	dn	FALSE	Arg1
Cyp2d40	2263.25504806509	1.8305011532932	0.125118143260918	1.80305331175165e-48	7.01074163782391e-46	up	FALSE	Cyp2d40
Gstp1	28581.9390371476	-1.49391893388962	0.102148975433977	1.94846236113863e-48	7.41493570028204e-46	dn	TRUE	Gstp1
Gbp6	374.723214480076	2.38737646538857	0.163685611077915	3.49238904167563e-48	1.30135146665438e-45	up	FALSE	Gbp6
Cyp4a14	238978.830794831	-2.39569785797711	0.16792093978422	3.52278824146496e-46	1.28588960177229e-43	dn	FALSE	Cyp4a14
Wrnip1	2649.83851388145	-1.4318362186505	0.100490624619168	4.58303877729869e-46	1.63944463141529e-43	dn	FALSE	Wrnip1
Marveld1	1599.88768920136	1.03172589591324	0.0724490706429476	5.12072924110064e-46	1.79586986679071e-43	up	FALSE	Marveld1
Iigp1	10770.6048556672	1.40103400692556	0.0984139434431887	5.46694903521967e-46	1.88042020084498e-43	up	FALSE	Iigp1
Sdsl	1206.31427229838	-2.15839370792901	0.151740605353076	6.4811148439982e-46	2.18719283207079e-43	dn	FALSE	Sdsl
Cbs	19294.6947559189	-0.882544773962202	0.0621842390263331	1.0207597659185e-45	3.31951075876697e-43	dn	FALSE	Cbs
Rtn4rl1	526.379997918479	-1.62722123506642	0.114650706841191	1.01438400504265e-45	3.31951075876697e-43	dn	TRUE	Rtn4rl1
Lect2	2793.71423777645	1.59270450922519	0.11364249154	1.26120249191198e-44	4.02819067327458e-42	up	FALSE	Lect2
Kynu	7039.99944811202	-0.967765144945504	0.0692362781557971	2.13216726160812e-44	6.69051642826718e-42	dn	FALSE	Kynu
Tmed5	13767.5426698646	-1.82516074446738	0.130660305066328	2.41844082253917e-44	7.45797112964406e-42	dn	FALSE	Tmed5
ORF61	7920.18615512592	-0.715109501093127	0.0512576384669352	3.09023308099641e-44	9.36812015028843e-42	dn	FALSE	ORF61
Arsg	1019.5594954849	-1.13394924138246	0.0829953534713516	1.69335675564557e-42	5.04789648857945e-40	dn	FALSE	Arsg
Upp2	9632.53669820317	2.038531625143	0.150343804522775	6.99581877489169e-42	2.05126581324119e-39	up	FALSE	Upp2
Xdh	5488.19886183182	1.17098794487828	0.0865343151519157	1.01142533415459e-41	2.91779895591759e-39	up	FALSE	Xdh
Smoc1	4323.83711116712	0.759811083670221	0.0566609000017262	5.29847023775914e-41	1.50426093131048e-38	up	FALSE	Smoc1
Retsat	56016.7454312487	-1.17736678920207	0.0881520959452974	1.09157591246086e-40	3.05061355785546e-38	dn	TRUE	Retsat
Psmb10	722.84774107332	1.27434124866837	0.0954268862305591	1.12088026478493e-40	3.08431760245282e-38	up	FALSE	Psmb10
Lin7a	941.83641627677	1.49808001912378	0.112447817731322	1.71397751217069e-40	4.64487905798258e-38	up	FALSE	Lin7a
Nceh1	2367.60430050287	-0.822854026226683	0.0621568738161854	5.26985655032598e-40	1.4068157352109e-37	dn	FALSE	Nceh1
Dgat2	21108.5929162471	1.23090287484618	0.0930598836768226	6.12868896014768e-40	1.61202545207649e-37	up	FALSE	Dgat2
4930420K17Rik	3201.85798203033	-1.1820224661683	0.0899056813442523	1.76217549308283e-39	4.56786534337383e-37	dn	FALSE	4930420K17Rik
Klhdc7a	872.012121738556	1.7145117959387	0.130533954759573	2.08579883960556e-39	5.32951400645501e-37	up	FALSE	Klhdc7a
Hdc	1353.87824901406	-2.04064215877914	0.155598306220877	2.70861664055812e-39	6.72865517125314e-37	dn	FALSE	Hdc
Rbm3	2157.4683004875	-1.12334514142075	0.0856531973180418	2.70038370073123e-39	6.72865517125314e-37	dn	FALSE	Rbm3
Ppa1	7363.92467373364	-0.771854552936834	0.058902627208067	3.12734807679786e-39	7.6624311920009e-37	dn	FALSE	Ppa1
Usp6nl	724.531320099391	-1.13253824037534	0.0865415491865885	3.92585637175861e-39	9.48890095476682e-37	dn	FALSE	Usp6nl
Pnpla8	6896.56647215521	-0.534347984117672	0.04104159392352	9.45795132915851e-39	2.25553223297772e-36	dn	FALSE	Pnpla8
Tlcd2	2571.64029351721	1.93966939824417	0.149686273728397	2.11057200722252e-38	4.96706459489237e-36	up	FALSE	Tlcd2
Abca8a	1456.59840460095	1.37296192265175	0.106061648956293	2.50951817828991e-38	5.82925222557057e-36	up	FALSE	Abca8a
Echdc3	1881.07843633873	1.01638093383228	0.0786794936243525	3.56327304593436e-38	8.17085919225409e-36	up	FALSE	Echdc3
Slc25a15	16995.869234877	-0.827389762973801	0.0641354652879054	4.46264854596028e-38	1.01036622649425e-35	dn	FALSE	Slc25a15
Atoh8	1442.16340130343	-1.5053677851216	0.1168732607063	5.80762383371637e-38	1.29843949862314e-35	dn	FALSE	Atoh8
Ildr2	1661.12235610058	1.82366505120184	0.142784935726897	2.34701470510117e-37	5.18255617474562e-35	up	FALSE	Ildr2
Dmxl2	1136.31654164844	-0.926098759341094	0.072594586088765	2.84481421985872e-37	6.20516428492599e-35	dn	FALSE	Dmxl2
Kcnk5	1641.71751928936	1.60618614577845	0.126330895306867	4.93636163677027e-37	1.0637561956057e-34	up	FALSE	Kcnk5
Slc13a3	1018.82139722383	2.44998795915583	0.19345258532863	9.29639766765181e-37	1.979468674805e-34	up	TRUE	Slc13a3
Atl2	7179.39173880643	-0.633053313544781	0.0502588305739881	2.2251457346806e-36	4.68223018947025e-34	dn	FALSE	Atl2
Psmd9	1801.42870942416	-1.046084496273	0.0831166140820074	2.52945597474282e-36	5.26068018188955e-34	dn	FALSE	Psmd9
St6gal1	2304.88347551631	0.872765319215841	0.0693734766037832	2.6970766179842e-36	5.54481751600752e-34	up	FALSE	St6gal1
Fus	2419.68247448328	-0.816612845121479	0.0650245738853009	3.56917021329069e-36	7.25433845851333e-34	dn	FALSE	Fus
Mtss1	7731.88938977076	1.16647805719371	0.0930025232121038	4.37350072224438e-36	8.78926223798461e-34	up	FALSE	Mtss1
Ifih1	1025.15186136439	1.21792579590656	0.0971145143788856	4.44607396080692e-36	8.83583098477695e-34	up	TRUE	Ifih1
Stat1	1774.06131383057	1.58602578890767	0.127042551095247	9.10433771334906e-36	1.7894525751754e-33	up	FALSE	Stat1
Akr1c20	1911.36565020487	1.72650341208976	0.138315354406681	9.31715913779923e-36	1.81137726455084e-33	up	FALSE	Akr1c20
Pklr	3673.11740151302	1.4599472988304	0.117000421074784	9.82586603455993e-36	1.8897359128402e-33	up	FALSE	Pklr
Hgd	27777.4438389257	-0.968044735190753	0.0777508702250039	1.38803366811614e-35	2.64110321148142e-33	dn	FALSE	Hgd
Mtx3	985.537774041868	-0.975572767909073	0.078651874229219	2.49588522830184e-35	4.69909507299018e-33	dn	FALSE	Mtx3
Il1r1	3699.49989667009	2.06831848544639	0.16689137103682	2.84454161540099e-35	5.29973659719397e-33	up	FALSE	Il1r1
Dpys	9279.72994071343	0.746265249458086	0.0602921424066094	3.46004968329459e-35	6.3800462510729e-33	up	FALSE	Dpys
Slc9a3r1	6106.77999580334	1.38498284575083	0.112508997753319	8.00488956730039e-35	1.46097402857893e-32	up	FALSE	Slc9a3r1
Slc16a11	694.669147741154	1.65154406796829	0.134757109339076	1.56571766965821e-34	2.82872992318249e-32	up	FALSE	Slc16a11
Creb3l2	507.510828487974	1.64115535779024	0.134076515233171	1.89008387096405e-34	3.3806040116063e-32	up	FALSE	Creb3l2
Creg1	19290.9150894924	-0.735265218673064	0.0603360026118222	3.68296515175496e-34	6.5221301687415e-32	dn	FALSE	Creg1
Fnip2	766.137496097942	1.47123753790258	0.121079059757712	5.66345212542799e-34	9.93102987405931e-32	up	FALSE	Fnip2
Tapbp	2384.93266271698	0.885243258036687	0.0729653126093834	7.11467536305157e-34	1.23546683051981e-31	up	FALSE	Tapbp
Slc17a4	858.116085579033	1.8138326294108	0.149672525652175	8.41083457607226e-34	1.44650180026566e-31	up	FALSE	Slc17a4
Slc36a1	931.52449824098	1.03126429305223	0.0855323352771509	1.7813131859896e-33	3.03433977567714e-31	up	FALSE	Slc36a1
Dap	6278.85772996282	0.995431517147724	0.0826712054704753	2.16713247017876e-33	3.65672937373749e-31	up	FALSE	Dap
Saa1	3210.88857906788	2.82076310719517	0.234506522397616	2.51673718127549e-33	4.20694964713022e-31	up	FALSE	Saa1
Stk35	732.138792388609	1.09750829009854	0.0912767652289983	2.65911105009286e-33	4.40378335573712e-31	up	FALSE	Stk35
Midn	1695.06219878058	0.989267305076081	0.0825082180077445	4.01270709487945e-33	6.58452101825816e-31	up	FALSE	Midn
Itih2	46946.5117092069	-0.646133192554454	0.0540602568178935	6.33107772774553e-33	1.02943323853142e-30	dn	FALSE	Itih2
Psmb9	424.287045186506	1.59358084753403	0.133378496670013	6.66592163671196e-33	1.0741141837318e-30	up	FALSE	Psmb9
Acy3	2030.31504732941	1.03946396833663	0.0870120505616832	6.79565553266786e-33	1.08524191836873e-30	up	FALSE	Acy3
Sidt2	7166.52885026377	-0.52293294717841	0.0438384825540152	8.39456954617064e-33	1.32871921152928e-30	dn	FALSE	Sidt2
Psmb8	720.776703902555	1.30009304822878	0.109015110538019	8.68395725207564e-33	1.3624671878125e-30	up	FALSE	Psmb8
Glrx	2576.81777432274	-0.844609145938214	0.0709439374369876	1.11057762453897e-32	1.72728620804382e-30	dn	FALSE	Glrx
Gamt	3970.36114869247	2.54142964410023	0.213661899643758	1.26208271990906e-32	1.94600099381839e-30	up	FALSE	Gamt
Dhrs7	1180.97042045369	1.46624743644031	0.124177820225633	3.56410627078639e-32	5.44851322728935e-30	up	TRUE	Dhrs7
Rhpn2	691.609488158624	-1.53231314065566	0.129828725747091	3.78552074127949e-32	5.73795118462076e-30	dn	FALSE	Rhpn2
Irf2	1979.91043808027	0.955753671208375	0.0810268189924616	4.1163748702733e-32	6.18701520417716e-30	up	FALSE	Irf2
Gck	6928.24080635037	3.27713942984016	0.277996698894527	4.47910455531999e-32	6.67610533970444e-30	up	FALSE	Gck
Samd9l	772.992837741366	1.87437169518701	0.159025168680804	4.57453192083015e-32	6.76198991206347e-30	up	FALSE	Samd9l
Ak4	2772.2501727039	0.919933190909519	0.0784048859718599	8.62305354265151e-32	1.26419619396611e-29	up	TRUE	Ak4
Efhd2	2295.36566139259	1.06745168335911	0.0912987597878597	1.40291781149161e-31	2.04004780295439e-29	up	FALSE	Efhd2
Samm50	3384.82731148156	-0.700627646918818	0.0601453234868932	2.32404016754661e-31	3.35224051909183e-29	dn	TRUE	Samm50
Ugt2b5	29078.9716759993	-0.879214074024547	0.075971632612621	5.65216891292718e-31	8.08757545412924e-29	dn	FALSE	Ugt2b5
Steap4	7277.66711930991	2.64861438057506	0.229057482661338	6.33793221134613e-31	8.99684567715371e-29	up	FALSE	Steap4
Brap	6435.99477245356	-1.04513722963362	0.0905124686908669	7.6543097981411e-31	1.07799200826419e-28	dn	FALSE	Brap
N4bp2l1	1628.4896695014	1.3168793707171	0.11449123953726	1.28878865589764e-30	1.80088077338947e-28	up	FALSE	N4bp2l1
Gyk	10021.9532115829	-1.02153555222224	0.0890245655772335	1.76666528595915e-30	2.44950196160197e-28	dn	FALSE	Gyk
Pgpep1	1769.79782307908	0.844519462534731	0.0736213346897349	1.84250265170426e-30	2.53500018679865e-28	up	FALSE	Pgpep1
Dot1l	1252.6459074907	-0.920730632810439	0.0805036916425052	2.72781362553654e-30	3.72440263407225e-28	dn	FALSE	Dot1l
Hist1h1c	2209.49882567375	-1.5970328912356	0.139694040853559	2.88160936769917e-30	3.90458069323238e-28	dn	FALSE	Hist1h1c
Atg16l2	413.891860078813	-1.96273256725875	0.172805521555693	6.76428489027937e-30	9.09669169530352e-28	dn	FALSE	Atg16l2
Dopey2	2222.47574444263	0.939619519523469	0.0830916282399134	1.19470826598962e-29	1.5946680630963e-27	up	FALSE	Dopey2
Serpinb8	108.176089596855	2.30653117084315	0.20400314354597	1.22060740353076e-29	1.61716918663343e-27	up	FALSE	Serpinb8
Ppp1r3b	10140.4689190984	1.18947395452314	0.105678758466087	2.17432420879665e-29	2.85955608812772e-27	up	FALSE	Ppp1r3b
Crat	5761.25396795161	-0.795653886783063	0.0709609558750784	3.53814721555535e-29	4.61921905820606e-27	dn	FALSE	Crat
Mrap	1985.01258441679	-0.84835953217562	0.0759446095574915	5.66892843347258e-29	7.34742420007902e-27	dn	FALSE	Mrap
Pglyrp2	4855.46817284095	-0.80164631786195	0.0722112222095062	1.23481558685443e-28	1.58891450262434e-26	dn	FALSE	Pglyrp2
Map3k13	470.211528500045	1.11044494568979	0.100395628376534	1.945942319762e-28	2.48608030937594e-26	up	FALSE	Map3k13
Dio1	5921.60065694676	1.41329131781956	0.127973779846899	2.35406780316366e-28	2.9861600515876e-26	up	FALSE	Dio1
Ces2g	1238.80775774263	1.53000877599836	0.138906644077627	3.24778069442036e-28	4.09083137326778e-26	up	FALSE	Ces2g
Ido2	2457.42346010222	1.49213345537164	0.135757179256923	4.21316528113148e-28	5.26969749778445e-26	up	FALSE	Ido2
G6pc	10794.7693159388	-1.31191091527335	0.119498448536294	4.85034293429312e-28	6.02453011963658e-26	dn	FALSE	G6pc
Hpgd	3794.56184708917	0.886978579451888	0.0811680842912599	8.49967826890395e-28	1.04844996908701e-25	up	FALSE	Hpgd
Hsd17b10	10662.7670640204	-0.674166362497812	0.0624382180754386	3.54338804707527e-27	4.34089305547865e-25	dn	FALSE	Hsd17b10
Rps7	6036.95251362052	-0.444796355114894	0.0413171570871637	5.01349984238374e-27	6.10009919597793e-25	dn	FALSE	Rps7
Slc3a1	1165.82884073203	1.73276308489157	0.160997992256443	5.16696039126652e-27	6.24434145663466e-25	up	FALSE	Slc3a1
Ttc7	2018.91282214831	1.2410095708286	0.11536535220025	5.48030276764053e-27	6.57857015449789e-25	up	TRUE	Ttc7
Spon2	482.620536934198	-1.882718319575	0.175112280408891	5.83105428973796e-27	6.95294913508354e-25	dn	FALSE	Spon2
Rfx4	232.633936554493	-1.43991414054364	0.134347003974242	8.39106956872696e-27	9.93924968915565e-25	dn	FALSE	Rfx4
Gpr155	794.064914372598	1.14112480141821	0.106583669339596	9.50089111733811e-27	1.11797985871519e-24	up	FALSE	Gpr155
Gm2a	2041.44685340383	0.709923639312768	0.0663426037387907	1.00826056482454e-26	1.17358217760293e-24	up	FALSE	Gm2a
Proz	9431.00984724431	0.875798456928757	0.0818452087222371	1.01046435955971e-26	1.17358217760293e-24	up	FALSE	Proz
Cxcl9	210.875467401661	2.01294780067177	0.188477630306792	1.2622325135791e-26	1.4471981242228e-24	up	FALSE	Cxcl9
Synj2	310.199466826993	1.8510509531024	0.173318321612978	1.26183178256113e-26	1.4471981242228e-24	up	FALSE	Synj2
Tuba8	216.83278928456	-3.06989311267887	0.288262461644774	1.75029765755038e-26	1.99400152248064e-24	dn	FALSE	Tuba8
Fgfr1	363.814841924187	-1.42536888244792	0.133932890294024	1.89169713363129e-26	2.1414490463373e-24	dn	FALSE	Fgfr1
Apol9b	1639.74228913034	1.52016713727228	0.142913052859208	2.00465616856765e-26	2.25504907113214e-24	up	FALSE	Apol9b
Themis	322.728350208983	3.19821892556849	0.301091806857415	2.35279224125795e-26	2.63012762669623e-24	up	FALSE	Themis
AU022252	1072.60432928628	-0.791661783050111	0.074636979913172	2.76986566569844e-26	3.0771315091107e-24	dn	FALSE	AU022252
Ctsb	19442.0964501498	0.753732949466058	0.0711519434291256	3.20148922379034e-26	3.53468125041445e-24	up	FALSE	Ctsb
Lcn2	1433.00759448716	3.28924728926703	0.311452264728612	4.51823786947545e-26	4.95786518610049e-24	up	TRUE	Lcn2
Gm129	738.537671464265	2.75656609764198	0.261406116262433	5.34887634350651e-26	5.83353672438765e-24	up	FALSE	Gm129
Ngef	929.476622996857	1.37764442266946	0.130696463158837	5.60242089086329e-26	6.07302424569581e-24	up	FALSE	Ngef
Rab36	300.452446365867	-1.75718815121764	0.166835733901086	6.12234043282513e-26	6.59663740852472e-24	dn	FALSE	Rab36
Slc22a1	13697.9683173565	0.630574256044302	0.0599084860041771	6.58231691372333e-26	7.04977965981171e-24	up	FALSE	Slc22a1
Arntl	220.0394465312	-2.06390337475666	0.19621952689123	7.11166920036882e-26	7.57138781653551e-24	dn	FALSE	Arntl
Fchsd2	771.948552027047	1.02495897334094	0.097465985870003	7.28503823358706e-26	7.71007064177149e-24	up	FALSE	Fchsd2
Elovl2	26198.5499243855	-1.2417455198926	0.118391930724045	9.76368802035706e-26	1.02725484665945e-23	dn	FALSE	Elovl2
Prune	1017.24208255701	-0.972630662356671	0.0928784256858161	1.16059539580921e-25	1.21394206137096e-23	dn	FALSE	Prune
Slc20a1	1701.20036564056	0.928364661403516	0.0887253191267079	1.27265574927698e-25	1.3234139960214e-23	up	FALSE	Slc20a1
Klf13	2243.85761584801	1.28111644427759	0.122456263179541	1.29335090722799e-25	1.33716036570403e-23	up	FALSE	Klf13
Igfbp1	4425.41752342118	-2.39937987678073	0.229419069257748	1.33956187858025e-25	1.37697722760266e-23	dn	FALSE	Igfbp1
Fam135a	1018.69727309946	-0.88271214685909	0.0845566983529025	1.640277923459e-25	1.67645776794216e-23	dn	FALSE	Fam135a
Uap1	1600.5208485095	0.813424430593067	0.0780154636426917	1.8777057595479e-25	1.90821847814055e-23	up	FALSE	Uap1
Haao	13332.5611759425	0.558594108309605	0.0536297630066687	2.1013864375397e-25	2.11153920347388e-23	up	FALSE	Haao
Mosc1	16346.2089374271	-0.523229900636384	0.0502329205370845	2.09416703522477e-25	2.11153920347388e-23	dn	FALSE	Mosc1
Hao2	72.6435590487383	3.96200491321093	0.380977364232205	2.49026091169308e-25	2.48831322159455e-23	up	FALSE	Hao2
1810058I24Rik	2177.92299956374	1.29816322502749	0.1249572909099	2.78677271776782e-25	2.76912315722196e-23	up	FALSE	1810058I24Rik
Cldn1	1702.02057201405	-1.42212204151791	0.137154363968973	3.43923317847013e-25	3.39857042155341e-23	dn	FALSE	Cldn1
Tmem62	929.197964074489	-1.27768613185227	0.123441568794263	4.16158919612802e-25	4.08979034955746e-23	dn	FALSE	Tmem62
Tmem38b	2119.75748789645	0.638249171892539	0.0616731399504172	4.23320431099954e-25	4.13743673806217e-23	up	FALSE	Tmem38b
Cyp2d12	57.5084638930468	3.21307054428738	0.310490404413667	4.25657322411035e-25	4.13766677643684e-23	up	FALSE	Cyp2d12
Inf2	2352.35699128854	0.847641640430053	0.0819573734223772	4.52718011733048e-25	4.37692667992286e-23	up	FALSE	Inf2
Hprt	2779.87690245765	-0.62796044305243	0.0607367621239048	4.69163467741452e-25	4.51153644302345e-23	dn	FALSE	Hprt
Cep110	1479.86443891543	-1.53298792823405	0.148428380560484	5.25743486169627e-25	5.02858181477538e-23	dn	FALSE	Cep110
Abcb4	20263.6282984458	-0.876820128434236	0.0852310705123076	8.01787947641915e-25	7.6280740593209e-23	dn	FALSE	Abcb4
Cyp4a12b	3052.29730768406	-3.05385859955729	0.297272545764914	9.33310677067331e-25	8.83237818519909e-23	dn	FALSE	Cyp4a12b
Usp47	3902.91994137406	-0.450219938723161	0.043854894699709	1.00144245690961e-24	9.42726304436066e-23	dn	FALSE	Usp47
Chchd2	9935.21777999877	-0.57345093647347	0.055963458567346	1.22223182124356e-24	1.13858533097721e-22	dn	FALSE	Chchd2
Wee1	469.446287733358	1.99542206229755	0.194730880941967	1.21978222231108e-24	1.13858533097721e-22	up	TRUE	Wee1
Lrfn3	564.866960632977	-1.15832805169254	0.113187602059965	1.40062441215083e-24	1.29800871687718e-22	dn	TRUE	Lrfn3
Kif21a	2457.88503261056	-0.812413554858833	0.07940747352577	1.44105101221462e-24	1.32858960847787e-22	dn	FALSE	Kif21a
Ifi44	96.8754647563066	2.2883556515356	0.223734106100655	1.48533555935064e-24	1.362395477669e-22	up	FALSE	Ifi44
Gpc4	1237.88010602639	0.91711978069811	0.0897223215484773	1.58442401329344e-24	1.44586775009013e-22	up	FALSE	Gpc4
Agxt	10949.6961358622	-1.01613833525707	0.0994706521702098	1.69077617637365e-24	1.53508744622432e-22	dn	FALSE	Agxt
Il17rb	438.028706238587	-1.20560573346539	0.118324501183611	2.22086697912679e-24	2.00618317114453e-22	dn	FALSE	Il17rb
Gsr	2670.67543825246	-0.701009360138949	0.0689275113281708	2.69243338806972e-24	2.41994289341784e-22	dn	FALSE	Gsr
Irgm1	1658.0637457872	0.995541195472217	0.0978942678064798	2.71143008521429e-24	2.42483192520714e-22	up	FALSE	Irgm1
Cebpe	353.295822035227	1.66175255543844	0.163788457457849	3.46200144820575e-24	3.08066457226906e-22	up	FALSE	Cebpe
Abhd14b	6285.6822450257	0.972658661981397	0.0960112574859334	4.03859771699264e-24	3.57595835475893e-22	up	FALSE	Abhd14b
Sdc1	10620.3024756484	-0.936039002964956	0.0926227351713888	5.19991118566593e-24	4.58155721511432e-22	dn	FALSE	Sdc1
Ces2a	7202.57763496907	-0.890644174336968	0.0881458130970431	5.29181054701336e-24	4.6396727178373e-22	dn	FALSE	Ces2a
Dsg1c	136.153974986134	2.31902700650668	0.230034881668966	6.69058814318711e-24	5.80911939461382e-22	up	FALSE	Dsg1c
Maff	246.171584080823	1.96788323424224	0.195196866746538	6.66790497333382e-24	5.80911939461382e-22	up	TRUE	Maff
Pdxk	2096.44483563029	1.18418272879301	0.117664577798421	7.96489146865854e-24	6.88212796175974e-22	up	FALSE	Pdxk
Asgr2	5361.16819294893	0.787493652340162	0.0783767464238209	9.41873817985859e-24	8.09920918677648e-22	up	FALSE	Asgr2
Ppp1r3c	2296.92901797988	1.55676294182034	0.154973402475183	9.6299684758259e-24	8.24122565352258e-22	up	TRUE	Ppp1r3c
Kmo	13821.2625664849	0.552879349855006	0.0550555757470421	9.94268582469984e-24	8.46832755526578e-22	up	FALSE	Kmo
9030619P08Rik	198.887911358596	3.63418469140578	0.36204430831388	1.03803185599518e-23	8.79916482290514e-22	up	FALSE	9030619P08Rik
